"product_handle","attribute_name","attribute_value"
"cascade-rain-shell-mens","material","100% recycled nylon ripstop (2.5L laminate)"
"cascade-rain-shell-mens","weight","11.6 oz"
"cascade-rain-shell-mens","waterproof_rating","15000 mm"
"cascade-rain-shell-mens","breathability","15000 g/m²/24h "
"cascade-rain-shell-mens","color_options","Slate, Fir Green"
"cascade-rain-shell-mens","warranty","Limited lifetime"
"cascade-rain-shell-womens","material","100% recycled nylon ripstop (PFAS-free DWR)"
"cascade-rain-shell-womens","weight","10.9 ounces"
"cascade-rain-shell-womens","waterproof_rating","15K mm"
"cascade-rain-shell-womens","hood","helmet-compatible, 3-point adjustment"
"cascade-rain-shell-womens","color_options","Deep Teal, Cinder"
"cascade-rain-shell-womens","warranty","Limited lifetime "
"timberline-fleece-pullover-mens","material","100% recycled polyester fleece"
"timberline-fleece-pullover-mens","weight","13.4 oz"
"timberline-fleece-pullover-mens","color_options","Charcoal Heather, River Blue"
"timberline-fleece-pullover-mens","care","Machine wash cold, tumble dry low"
"timberline-fleece-pullover-mens","warranty","1 year"
"timberline-fleece-pullover-womens","material","100% recycled polyester fleece"
"timberline-fleece-pullover-womens","weight","12.7 oz"
"timberline-fleece-pullover-womens","color_options","Oat Heather, Evergreen"
"timberline-fleece-pullover-womens","fit","regular"
"timberline-fleece-pullover-womens","warranty","1-year limited"
"evergreen-merino-base-top-mens","material","87% merino wool / 13% nylon"
"evergreen-merino-base-top-mens","weight","7.8 oz"
"evergreen-merino-base-top-mens","odor_control","natural merino"
"evergreen-merino-base-top-mens","color_options","Black, Heather Gray"
"evergreen-merino-base-top-mens","warranty","1 year"
"evergreen-merino-base-top-womens","material","87% merino wool / 13% nylon"
"evergreen-merino-base-top-womens","weight","7.1 ounces"
"evergreen-merino-base-top-womens","odor_control","natural merino "
"evergreen-merino-base-top-womens","color_options","Black, Heather Gray"
"evergreen-merino-base-top-womens","warranty","1 year"
"ridgeline-hiking-socks-crew","material","55% merino wool / 40% nylon / 5% elastane"
