Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
glowwash-brightening-cleanser,GlowWash Brightening Cleanser,<p>GlowWash Brightening Cleanser by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Cleanser,cleanser,true,Title,Default Title,GLWSH-001-BLK,100,shopify,183,28.00,,true,true,active
glowwash-gentle-foam-cleanser,GlowWash Gentle Foam Cleanser,<p>GlowWash Gentle Foam Cleanser by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Cleanser,cleanser,true,Title,Default Title,GLWSH-002-ORG,100,shopify,48,24.00,,true,true,active
glowboost-vitamin-c-serum-30ml,GlowBoost Vitamin C Serum 30ml,<p>GlowBoost Vitamin C Serum 30ml by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Serum,serum,true,Title,Default Title,GLVCS-003-30,100,shopify,26,52.00,,true,true,active
glownourish-retinol-night-cream,GlowNourish Retinol Night Cream,<p>GlowNourish Retinol Night Cream by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Moisturizer,moisturizer,true,Title,Default Title,GLNRT-004-50,100,shopify,90,58.00,,true,true,active
glowmist-hydrating-toner,GlowMist Hydrating Toner,<p>GlowMist Hydrating Toner by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Moisturizer,moisturizer,true,Title,Default Title,GLMST-005-100,100,shopify,82,34.00,,true,true,active
glowshield-spf-40-moisturizer,GlowShield SPF 40 Moisturizer,<p>GlowShield SPF 40 Moisturizer by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Moisturizer,moisturizer,true,Title,Default Title,GLSPF-006-40,100,shopify,77,44.00,,true,true,active
glowtint-tinted-lip-balm,GlowTint Tinted Lip Balm,<p>GlowTint Tinted Lip Balm by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Lip,lip,true,Title,Default Title,GLLIP-007-CLR,100,shopify,55,18.00,,true,true,active
glowskin-holiday-gift-set,GlowSkin Holiday Gift Set,<p>GlowSkin Holiday Gift Set by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Gift Set,gift set,true,Title,Default Title,GLGFT-008-HOL,100,shopify,46,89.00,110.00,true,true,active
gloweye-brightening-eye-cream,GlowEye Brightening Eye Cream,<p>GlowEye Brightening Eye Cream by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Serum,serum,true,Title,Default Title,GLEYE-009-BLK,100,shopify,193,46.00,,true,true,active
glowrenew-peptide-serum,GlowRenew Peptide Serum,<p>GlowRenew Peptide Serum by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Serum,serum,true,Title,Default Title,GLSRM-010-NEW,100,shopify,159,64.00,,true,true,active
glowclear-clay-mask,GlowClear Clay Mask,<p>GlowClear Clay Mask by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Cleanser,cleanser,true,Title,Default Title,GLMSK-011-CLY,100,shopify,42,32.00,,true,true,active
glowrose-facial-mist,GlowRose Facial Mist,<p>GlowRose Facial Mist by GlowSkin Co.</p>,GlowSkin Co.,Health & Beauty,Moisturizer,moisturizer,true,Title,Default Title,GLTNR-012-ROS,100,shopify,171,36.00,,true,true,active
